year_month,depot,monthly
19-11,10000.0,0.0
19-12,10944.25,944.25
20-01,12067.33,1123.08
20-02,11296.87,-770.46
20-03,9459.22,-1837.65
20-04,12931.89,3472.67
20-05,13959.39,1027.5
20-06,16404.02,2444.63
20-07,18978.08,2574.06
20-08,22818.86,3840.78
20-09,22537.59,-281.27
20-10,20998.9,-1538.69
20-11,28704.22,7705.32
20-12,28014.3,-689.92
21-01,31945.33,3931.03
21-02,29047.59,-2897.74
21-03,25216.06,-3831.53
21-04,26386.66,1170.6
21-05,26102.78,-283.88
21-06,28537.54,2434.76
21-07,31518.12,2980.58
21-08,32923.01,1404.89
21-09,32038.46,-884.55
21-10,33241.84,1203.38
21-11,31256.72,-1985.12
21-12,24110.84,-7145.88
22-01,24110.84,0.0
22-02,24110.84,0.0
22-03,24110.84,0.0
22-04,24110.84,0.0
22-05,24110.84,0.0
22-06,24110.84,0.0
22-07,24110.84,0.0
22-08,24110.84,0.0
22-09,24110.84,0.0
22-10,24110.84,0.0
22-11,24110.84,0.0
22-12,24110.84,0.0
23-01,24110.84,0.0
23-02,22228.38,-1882.46
23-03,23195.84,967.46
23-04,23567.7,371.86
23-05,25061.26,1493.56
23-06,26799.82,1738.56
23-07,27964.7,1164.88
23-08,26992.67,-972.03
23-09,25223.3,-1769.37
23-10,24232.9,-990.4
23-11,26973.62,2740.72
23-12,28375.11,1401.49
24-01,31572.79,3197.68
24-02,35750.8,4178.01
24-03,36752.75,1001.95
24-04,34944.82,-1807.93
24-05,38368.56,3423.74
24-06,38690.54,321.98
24-07,35976.98,-2713.56
24-08,33933.17,-2043.81
24-09,34938.16,1004.99
24-10,36263.79,1325.63
24-11,37216.05,952.26
24-12,36742.83,-473.22
25-01,39543.48,2800.65
25-02,36461.01,-3082.47
25-03,34099.86,-2361.15
25-04,38205.94,4106.08
25-05,43702.02,5496.08
25-06,45912.14,2210.12
25-07,48059.29,2147.15
25-08,50267.22,2207.93
25-09,59571.71,9304.49
25-10,59534.4,-37.31
25-11,52043.85,-7490.55
25-12,52043.85,0.0
26-01,67873.99,15830.14
26-02,70057.55,2183.56
26-03,66121.64,-3935.91
26-04,97534.65,31413.01
26-05,143083.59,45548.94
26-06,164948.99,21865.4
26-07,105553.17,-59395.82
26-08,105553.17,0.0
